,GEOID,FP_nearest,FP_tt,FP_tt_3
733,36081058700,fd16e847-5540-41e3-858a-15e57043404c,4.54,5.92
734,36081058900,fd16e847-5540-41e3-858a-15e57043404c,1.43,6.91
735,36081059000,338f65c4-a068-450e-a4bc-1dcf76f7da32,7.77,11.61
736,36081059100,fd16e847-5540-41e3-858a-15e57043404c,7.42,12.05
737,36081059300,fd16e847-5540-41e3-858a-15e57043404c,6.67,10.14
738,36081059400,af02c2c1-24a6-4188-8d94-f4dd960a8a60,9.02,13.59
739,36081059501,fd16e847-5540-41e3-858a-15e57043404c,9.78,15.3
740,36081059600,af02c2c1-24a6-4188-8d94-f4dd960a8a60,9.55,10.21
741,36081059800,647e282a-96bb-454c-b6ec-323cd3b41d0e,6.3,9.29
742,36081059900,fd16e847-5540-41e3-858a-15e57043404c,17.06,19.94
743,36081060000,af02c2c1-24a6-4188-8d94-f4dd960a8a60,4.84,11.62
744,36081060600,af02c2c1-24a6-4188-8d94-f4dd960a8a60,5.13,12.34
745,36081060800,647e282a-96bb-454c-b6ec-323cd3b41d0e,5.9,10.57
746,36081061000,647e282a-96bb-454c-b6ec-323cd3b41d0e,9.11,11.82
747,36081061200,af02c2c1-24a6-4188-8d94-f4dd960a8a60,8.97,14.86
748,36081061302,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,15.27,15.52
749,36081061400,af02c2c1-24a6-4188-8d94-f4dd960a8a60,9.39,17.66
750,36081061601,10e15817-7250-4e6b-a069-817c08c9fd1e,14.96,15.4
751,36081061602,10e15817-7250-4e6b-a069-817c08c9fd1e,10.09,15.88
752,36081061800,10e15817-7250-4e6b-a069-817c08c9fd1e,7.49,8.54
753,36081061900,8d85922c-f76e-4522-a147-7a026ece7325,21.19,22.12
754,36081062300,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,16.4,17.26
755,36081062500,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,11.77,12.59
756,36081062600,764bbfdf-96ee-4f1d-b270-6ee8029d3c0f,5.04,6.98
757,36081062700,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,7.37,8.13
758,36081062900,da49ffcb-3b2c-4a49-a6fc-32185b56d9b3,10.59,11.69
759,36081063200,e6eeb6dc-09fe-437e-9e19-1207cd85a9a0,3.14,6.52
760,36081063301,5f14b085-5a62-41cf-923f-d224e714cb04,20.38,21.44
761,36081064101,834cebb4-35e5-459d-87ef-49082520da1f,12.79,17.24
762,36081064500,be2885cd-5fa1-4a2a-8412-e977c8eab26c,18.54,24.09
763,36081064600,e19cee8f-24ec-48c1-aa15-c9c5c5c9ec2e,1.95,4.86
764,36081065000,e19cee8f-24ec-48c1-aa15-c9c5c5c9ec2e,5.07,8.75
765,36081065401,10e15817-7250-4e6b-a069-817c08c9fd1e,13.67,16.28
766,36081065402,e19cee8f-24ec-48c1-aa15-c9c5c5c9ec2e,16.89,18.18
767,36081065600,10e15817-7250-4e6b-a069-817c08c9fd1e,18.69,23.65
768,36081065702,8d85922c-f76e-4522-a147-7a026ece7325,18.69,19.86
769,36081065703,8d85922c-f76e-4522-a147-7a026ece7325,16.7,22.9
770,36081066000,10e15817-7250-4e6b-a069-817c08c9fd1e,19.81,23.61
771,36081066301,8d85922c-f76e-4522-a147-7a026ece7325,8.3,15.33
772,36081066302,8d85922c-f76e-4522-a147-7a026ece7325,8.28,17.49
773,36081066402,10e15817-7250-4e6b-a069-817c08c9fd1e,23.55,25.94
774,36081066403,10e15817-7250-4e6b-a069-817c08c9fd1e,29.68,33.05
775,36081066701,8d85922c-f76e-4522-a147-7a026ece7325,13.94,21.26
776,36081067100,8d85922c-f76e-4522-a147-7a026ece7325,2.99,11.51
777,36081067700,8d85922c-f76e-4522-a147-7a026ece7325,13.13,18.04
778,36081067900,154a03e0-e31a-430f-9f61-ac3fd3bc6fcb,10.44,12.68
779,36081068200,948d55ef-09e4-4145-ade3-dba841a16367,6.96,10.7
780,36081068300,154a03e0-e31a-430f-9f61-ac3fd3bc6fcb,6.02,8.81
781,36081069300,14080cf2-01db-4fbb-a7e4-96477296a4b2,5.74,8.54
782,36081069500,154a03e0-e31a-430f-9f61-ac3fd3bc6fcb,8.44,12.35
783,36081069701,14080cf2-01db-4fbb-a7e4-96477296a4b2,5.73,8.42
784,36081069702,14080cf2-01db-4fbb-a7e4-96477296a4b2,11.93,12.56
785,36081070300,be2885cd-5fa1-4a2a-8412-e977c8eab26c,11.62,16.99
786,36081070700,be2885cd-5fa1-4a2a-8412-e977c8eab26c,10.6,17.24
787,36081070900,be2885cd-5fa1-4a2a-8412-e977c8eab26c,5.05,11.81
788,36081071303,73cad435-3f8f-48a7-a03f-34b674c1d4e1,4.85,6.25
789,36081071304,6a016ce6-f091-4d3c-b4de-7e5a9882042d,1.91,5.31
790,36081071305,be2885cd-5fa1-4a2a-8412-e977c8eab26c,3.8,6.32
791,36081071701,14080cf2-01db-4fbb-a7e4-96477296a4b2,1.56,5.24
