GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36061001200,10.09,8.28,11.79,35.92,10.18,7.9,10.15,35.92,12.28,9.99,6.81,35.92,13.31,9.99,13.31,35.92,8.44,6.54,16.16,38.39,25.16,10.98,26.42,76.31,44.97,35.98,40.61,62.69,6.54,23.586071428571433,0.5714285714285714,83669,137353,4372,0.2704,0.2169,0.162,151723.0,S_Manhattan,-14370.0,1,1
36061001300,6.68,13.73,13.73,36.44,6.68,13.73,13.73,36.44,6.68,13.73,13.73,36.44,6.68,13.73,13.73,36.44,14.5,21.55,21.55,42.2,45.2,22.71,42.62,81.67,43.32,32.76,34.66,72.47,6.68,27.054642857142856,0.4642857142857143,193065,250001,4844,0.158,0.0884,,151723.0,S_Manhattan,98278.0,0,0
36061001401,8.41,4.87,12.2,35.01,8.41,4.87,12.2,35.01,11.21,7.41,8.27,35.01,12.2,7.41,12.2,35.01,9.32,5.07,12.91,37.31,24.43,6.28,23.36,74.7,44.06,34.06,36.62,63.76,4.87,22.199285714285715,0.5714285714285714,95515,188625,3071,0.3862,0.0821,0.074,151723.0,S_Manhattan,36902.0,0,0
36061001402,7.98,5.55,11.04,33.8,7.98,5.55,11.04,33.8,10.0,7.57,7.58,33.8,11.04,7.82,11.04,33.8,8.75,6.13,11.72,33.57,20.59,6.65,22.11,73.45,41.03,31.03,35.67,60.01,5.55,21.074999999999996,0.5714285714285714,33793,52379,3133,0.0794,0.2893,0.207,151723.0,S_Manhattan,-99344.0,1,1
36061001501,15.22,17.5,17.5,37.54,15.22,17.5,17.5,37.54,15.22,17.5,17.5,37.54,15.22,17.5,17.5,37.54,16.06,20.24,20.24,42.75,40.74,18.04,35.79,77.97,46.7,35.73,33.96,69.78,15.22,28.894285714285722,0.5,109832,161827,7749,0.2393,0.0812,0.11,151723.0,S_Manhattan,10104.0,0,0
36061001502,14.6,18.09,18.09,38.44,14.6,18.09,18.09,38.44,14.6,18.09,18.09,38.44,14.6,18.09,18.09,38.44,16.7,22.39,22.39,45.58,43.38,18.99,38.25,80.91,49.58,38.83,37.33,72.45,14.6,30.130714285714284,0.5,197993,201838,8133,0.1326,0.0699,,151723.0,S_Manhattan,50115.0,0,0
36061001600,7.9,6.93,11.6,33.59,7.9,6.93,11.6,33.59,8.72,7.75,9.42,33.59,10.02,8.07,11.6,33.59,8.56,7.6,8.56,32.54,26.39,7.48,20.76,69.15,38.6,28.61,29.86,59.27,6.93,20.720714285714287,0.5714285714285714,41583,64453,8133,0.1447,0.1197,0.156,151723.0,S_Manhattan,-87270.0,1,1
36061001800,6.52,6.27,10.06,32.55,6.52,6.27,10.06,32.55,6.51,6.26,8.01,32.55,8.06,7.51,10.06,32.55,6.94,6.69,6.94,27.92,20.12,6.81,19.15,68.13,35.23,25.24,29.87,54.64,6.26,18.928214285714287,0.6071428571428571,71567,65664,7271,0.1187,0.1437,0.128,151723.0,S_Manhattan,-86059.0,1,0
36061002000,11.72,9.95,13.31,38.8,12.14,11.81,12.29,38.8,15.65,13.88,9.67,38.8,17.36,13.99,19.52,38.8,12.03,10.26,23.94,37.89,21.26,17.23,31.01,76.64,48.72,40.2,44.76,61.35,9.67,26.49214285714286,0.5357142857142857,25833,26719,5015,0.1339,0.405,0.266,151723.0,S_Manhattan,-125004.0,1,1
36061002100,9.83,11.39,11.39,34.79,9.83,11.39,11.39,34.79,9.83,11.39,11.39,34.79,9.83,11.39,11.39,34.79,12.11,13.67,13.67,34.31,37.71,22.07,36.46,74.99,34.98,24.37,27.98,64.06,9.83,23.785,0.5357142857142857,250001,250001,7379,0.1733,0.0166,0.053,151723.0,S_Manhattan,98278.0,0,0
36061002201,8.06,7.89,9.08,32.79,7.91,7.74,7.44,32.79,8.28,7.29,4.77,32.79,9.95,8.47,10.88,32.79,8.57,7.58,15.02,34.29,19.23,11.0,24.59,73.23,43.37,34.39,39.02,58.59,4.77,21.35,0.6071428571428571,26021,40332,6689,0.2041,0.3334,0.226,151723.0,S_Manhattan,-111391.0,1,1
36061002202,8.5,7.9,10.08,33.65,7.73,7.45,8.44,33.65,9.27,8.67,5.9,33.65,10.97,8.78,13.41,33.65,8.08,7.49,17.29,32.67,16.3,11.58,25.21,72.11,43.07,34.08,38.71,56.98,5.9,21.61678571428572,0.6071428571428571,114676,177747,2422,0.1476,0.1383,,151723.0,S_Manhattan,26024.0,0,0
36061002400,14.94,9.81,15.44,37.44,14.6,12.11,17.09,37.44,21.63,16.49,15.58,37.44,22.5,16.55,23.0,37.44,18.04,12.91,25.87,37.47,19.46,19.28,33.33,74.93,50.67,41.36,47.06,59.28,9.81,28.184285714285718,0.4642857142857143,14533,31845,4385,0.1955,0.5991,0.367,151723.0,S_Manhattan,-119878.0,1,1
36061002500,17.39,17.65,17.79,36.96,17.39,17.65,17.79,36.96,17.52,17.79,17.79,36.96,17.52,17.79,17.79,36.96,17.52,17.79,17.79,39.65,36.46,17.51,31.34,75.82,44.94,34.33,33.45,66.44,17.39,28.312142857142856,0.5714285714285714,21381,33140,5289,0.147,0.5052,0.273,151723.0,S_Manhattan,-118583.0,1,1
36061002601,9.44,6.88,11.03,33.73,7.47,7.2,10.64,33.73,12.26,9.7,8.09,33.73,13.96,9.81,16.39,33.73,10.81,8.25,19.82,32.34,15.67,12.67,26.53,71.43,44.12,35.66,40.05,56.02,6.88,22.541428571428572,0.6071428571428571,32727,69250,4171,0.0899,0.3074,0.207,151723.0,S_Manhattan,-82473.0,1,1
36061002602,10.47,5.87,12.06,33.07,8.52,6.29,13.69,33.07,15.32,10.72,11.15,33.07,17.02,10.83,18.75,33.07,13.86,9.26,21.44,32.11,14.75,13.69,27.73,70.59,45.14,36.8,41.25,55.0,5.87,23.378214285714286,0.5714285714285714,68537,250001,3683,0.1614,0.1967,0.163,151723.0,S_Manhattan,98278.0,0,1
36061002700,14.05,14.05,15.01,34.41,14.05,14.05,15.01,34.41,14.74,14.2,15.01,34.41,14.74,14.2,15.01,34.41,14.54,14.2,14.54,35.74,32.79,14.84,27.7,72.57,41.16,30.55,30.64,62.64,14.05,25.131071428571428,0.5714285714285714,107031,76667,1253,0.2129,0.17,0.154,151723.0,S_Manhattan,-75056.0,1,0
