GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11
36085002900,Staten Island,SI0102,-74.0827381400913,40.61966118386719,POINT (-74.08273825024891 40.619661117733706),POINT (-74.08273814009129 40.61966118386719),30.925,83916,72.464,84949,60.244,87247,70.953,85351,65.129,81199,84.931,83630,82.372,FPC-432,70.256,FPC-482,72.056,FPC-624,89.033,FPC-605,99.55,85251,91.407,85357
36085003300,Staten Island,SI0104,-74.08662833663017,40.62561087548329,POINT (-74.0866285170351 40.62561057733245),POINT (-74.08662833663017 40.62561087548329),29.258,83916,80.978,84949,68.63,87247,79.337,85351,73.555,81199,93.939,83630,79.698,FPC-482,91.464,FPC-432,80.482,FPC-624,98.125,FPC-605,108.642,85251,100.849,85357
36085003600,Staten Island,SI0103,-74.07589741843894,40.611083205369695,POINT (-74.075897547026 40.61108313167088),POINT (-74.07589741843894 40.6110832053697),38.118,83916,68.097,84949,65.703,85351,54.761,87247,59.646,81199,79.448,83630,76.889,FPC-432,64.773,FPC-482,66.573,FPC-624,83.55,FPC-605,94.067,85251,85.924,85357
36085003900,Staten Island,SI0104,-74.09335570623124,40.62117839536168,POINT (-74.09335582210761 40.62117834007271),POINT (-74.09335570623124 40.62117839536168),35.374,83916,79.982,84949,67.764,87247,78.471,85351,72.689,81199,93.073,83630,78.832,FPC-482,90.598,FPC-432,79.616,FPC-624,97.259,FPC-605,107.776,85251,99.983,85357
36085004001,Staten Island,SI0102,-74.07566361455895,40.61888496990113,POINT (-74.0756636838478 40.61888496498761),POINT (-74.07566361455895 40.61888496990113),30.537,83916,62.099,84949,59.705,85351,48.763,87247,53.648,81199,73.45,83630,70.891,FPC-432,58.775,FPC-482,60.575,FPC-624,77.552,FPC-605,88.069,85251,79.926,85357
36085004002,Staten Island,SI0103,-74.07936999192081,40.6128289387238,POINT (-74.07937006894775 40.612828882440006),POINT (-74.07936999192081 40.6128289387238),37.859,83916,75.818,84949,73.424,85351,62.482,87247,67.367,81199,87.169,83630,84.61,FPC-432,72.494,FPC-482,74.294,FPC-624,91.271,FPC-605,101.788,85251,93.645,85357
36085004003,Staten Island,SI0103,-74.08326408073306,40.61428996394705,POINT (-74.08326412548296 40.61428994463512),POINT (-74.08326408073306 40.61428996394705),30.086,83916,71.608,84949,59.39,87247,70.097,85351,64.315,81199,84.699,83630,82.186,FPC-432,70.07,FPC-482,71.242,FPC-624,88.847,FPC-605,99.364,85251,91.221,85357
36085004004,Staten Island,SI0103,-74.0852640164252,40.609301895664494,POINT (-74.08526397598061 40.60930188485145),POINT (-74.0852640164252 40.60930189566449),25.718,83916,64.79,84949,63.279,85351,52.572,87247,57.497,81199,77.881,83630,75.406,FPC-432,63.64,FPC-482,64.424,FPC-624,82.067,FPC-605,92.584,85251,84.791,85357
36085004700,Staten Island,SI0104,-74.09473805837644,40.61420762713124,POINT (-74.09473795759354 40.61420762362873),POINT (-74.09473805837644 40.61420762713124),28.452,83916,75.847,84949,63.629,87247,74.336,85351,68.554,81199,88.938,83630,86.463,FPC-432,74.697,FPC-482,75.481,FPC-624,93.124,FPC-605,103.641,85251,95.848,85357
36085005000,Staten Island,SI0201,-74.08600957795849,40.60414068797443,POINT (-74.0860095504352 40.60414072113674),POINT (-74.08600957795849 40.60414068797443),24.593,83916,65.204,84949,63.693,85351,52.986,87247,57.911,81199,78.295,83630,75.82,FPC-432,63.8,FPC-482,64.838,FPC-624,82.481,FPC-605,92.998,85251,84.951,85357
36085005902,Staten Island,SI0104,-74.09441446262818,40.62749081715987,POINT (-74.09441453265389 40.627490773691235),POINT (-74.09441446262818 40.62749081715987),24.99,83916,78.912,84949,66.564,87247,77.271,85351,71.489,81199,91.873,83630,77.632,FPC-482,89.398,FPC-432,78.416,FPC-624,96.059,FPC-605,106.576,85251,98.783,85357
36085006400,Staten Island,SI0201,-74.07849558035944,40.597247039684675,POINT (-74.07849562482848 40.59724702441866),POINT (-74.07849558035944 40.59724703968467),28.33,83916,63.355,84949,60.486,85351,49.544,87247,54.429,81199,74.231,83630,71.672,FPC-432,59.556,FPC-482,61.356,FPC-624,78.333,FPC-605,88.85,85251,80.707,85357
36085006700,Staten Island,SI0104,-74.10109191286513,40.635194178100065,POINT (-74.10109200910587 40.63519410819719),POINT (-74.10109191286513 40.63519417810006),13.204,83916,65.001,87247,78.337,84949,75.943,85351,69.886,81199,75.013,FPC-482,89.688,83630,87.129,FPC-432,76.813,FPC-624,93.79,FPC-605,104.307,85251,96.164,85357
