GEOID,TCoL_2021,TCoL_2023,TCoL_mapping
36081071303,92275,115496,Queens
36081071304,92275,115496,Queens
36081071305,92275,115496,Queens
36081071701,92275,115496,Queens
36081071900,92275,115496,Queens
36081072100,92275,115496,Queens
36081072300,92275,115496,Queens
36081072900,92275,115496,Queens
36081073700,92275,115496,Queens
36081073900,92275,115496,Queens
36081074100,92275,115496,Queens
36081074300,92275,115496,Queens
36081074500,92275,115496,Queens
36081074700,92275,115496,Queens
36081075701,92275,115496,Queens
36081075702,92275,115496,Queens
36081077902,92275,115496,Queens
36081077903,92275,115496,Queens
36081077904,92275,115496,Queens
36081077905,92275,115496,Queens
36081077906,92275,115496,Queens
36081077907,92275,115496,Queens
36081077908,92275,115496,Queens
36081078800,92275,115496,Queens
36081079000,92275,115496,Queens
36081079200,92275,115496,Queens
36081079300,92275,115496,Queens
36081079701,92275,115496,Queens
36081079702,92275,115496,Queens
36081079900,92275,115496,Queens
36081080301,92275,115496,Queens
36081080302,92275,115496,Queens
36081081400,92275,115496,Queens
36081081800,92275,115496,Queens
36081083700,92275,115496,Queens
