,GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL
216,36005030900,108470,155344,4480,0.7098,0.0532,123688.0,N_Manhattan,31656.0,0
217,36005031000,111106,128926,4507,0.9611,0.0688,107246.0,Bronx,21680.0,0
218,36005031200,102188,185852,1874,0.8073,0.0371,107246.0,Bronx,78606.0,0
219,36005031400,95486,129362,2272,0.7682,0.0187,107246.0,Bronx,22116.0,0
220,36005031600,90294,179167,1965,0.7493,0.1247,107246.0,Bronx,71921.0,0
221,36005031800,118250,136949,2149,0.9613,0.0794,107246.0,Bronx,29703.0,0
222,36005032300,88026,108429,4789,0.6081,0.0451,123688.0,N_Manhattan,-15259.0,1
223,36005032400,23741,38975,3326,0.4221,0.4434,107246.0,Bronx,-68271.0,1
224,36005032600,95071,122083,3643,0.7529,0.1167,107246.0,Bronx,14837.0,0
225,36005032800,44680,77750,4140,0.3628,0.2027,107246.0,Bronx,-29496.0,1
226,36005033000,39018,60477,5575,0.3955,0.2363,107246.0,Bronx,-46769.0,1
227,36005033201,37255,48144,5334,0.3072,0.3051,107246.0,Bronx,-59102.0,1
228,36005033202,44812,120568,3775,0.4214,0.1734,107246.0,Bronx,13322.0,0
229,36005033500,99659,127083,2158,0.7345,0.1502,,,,0
230,36005033601,30533,47326,4925,0.2581,0.3757,107246.0,Bronx,-59920.0,1
231,36005033602,41950,65022,1356,0.6856,0.1932,107246.0,Bronx,-42224.0,1
232,36005033700,114151,186607,2644,0.7869,0.0307,123688.0,N_Manhattan,62919.0,0
233,36005033801,63978,99165,2256,0.6535,0.1454,107246.0,Bronx,-8081.0,1
234,36005033802,39487,105066,1713,0.2904,0.1848,107246.0,Bronx,-2180.0,1
235,36005034000,57782,75903,5775,0.5264,0.1182,107246.0,Bronx,-31343.0,1
236,36005034200,64113,134276,1665,0.6591,0.1442,107246.0,Bronx,27030.0,0
237,36005034300,83991,101290,1899,0.8289,0.0269,123688.0,N_Manhattan,-22398.0,1
