GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty
36047026100,65957,87648,5358,0.2658,0.3861
36047026200,80139,73625,2819,0.6998,0.0702
36047026300,67143,135435,2097,0.3433,0.2145
36047026400,67524,83720,4446,0.4885,0.1357
36047026500,75612,169423,4192,0.3332,0.1478
36047026600,45893,46176,3662,0.5081,0.147
36047026700,96618,144267,4533,0.367,0.0814
36047026800,77716,110556,4917,0.5933,0.1592
36047026900,90962,212991,3249,0.4092,0.1455
36047027000,33611,52097,2519,0.6115,0.3505
36047027100,68750,248101,3553,0.3908,0.1663
36047027200,71174,95343,3803,0.5838,0.1749
36047027300,78555,121760,3899,0.5312,0.0988
36047027400,52551,81454,3412,0.5674,0.1636
36047027500,89464,141313,5031,0.3769,0.1729
36047027600,56652,56472,3996,0.5739,0.1529
36047027700,62813,83352,4473,0.3947,0.252
36047027800,61975,96061,3337,0.5052,0.1217
36047027900,77220,119691,3459,0.4488,0.1891
36047028000,86509,85573,1946,0.6498,0.1131
36047028100,37243,56250,5175,0.2183,0.3173
