GEOID,FP_nearest,FP_tt,FP_tt_3
36081023800,85167,3.02,7.0
36081024000,80952,5.94,6.59
36081024600,85510,1.71,3.44
36081025100,84884,8.3,14.94
36081025301,84105,11.72,14.41
36081025302,84105,12.23,13.82
36081025401,80871,2.33,3.68
36081025402,84665,1.5,2.21
36081025500,84884,10.56,12.22
36081025700,84884,8.62,12.06
36081025800,FPC-693,2.92,4.91
36081025900,84884,5.89,12.17
36081026000,FPC-708,2.22,4.01
36081026200,83294,1.0,3.3
36081026400,80876,2.71,4.18
36081026600,80866,2.69,4.78
36081026700,FPC-603,1.06,4.12
36081026901,FPC-598,2.09,4.53
36081026902,FPC-598,5.16,5.68
36081027000,83294,2.57,5.07
36081027101,FPC-598,6.51,8.49
36081027102,FPC-598,5.1,8.58
36081027200,83294,10.12,11.31
36081027301,80936,7.68,9.09
36081027302,80936,4.52,7.04
36081027400,83294,8.69,10.03
36081027500,80936,8.07,9.31
36081027600,80876,6.06,7.12
36081027701,FPC-598,5.98,9.62
36081027702,84594,8.66,9.3
36081027800,FPC-690,7.46,9.49
36081027900,FPC-598,5.55,9.22
36081028000,FPC-690,2.86,5.56
36081028100,FPC-598,5.84,7.64
36081028200,84887,2.69,5.15
36081028300,FPC-598,5.14,6.01
36081028400,85284,5.86,7.41
36081028500,FPC-597,4.94,6.36
36081028700,FPC-597,4.63,6.11
36081028801,83270,8.25,12.02
36081028802,85284,10.71,12.38
36081028900,FPC-597,4.73,7.35
36081029500,80891,5.43,9.54
36081030903,FPC-597,5.74,7.54
36081032700,84594,5.18,6.75
36081032800,85448,5.63,8.79
36081033000,85255,6.42,7.7
36081033401,85284,6.83,11.01
36081033403,85284,5.76,10.48
36081033404,85255,6.84,10.4
36081033405,85255,4.12,9.6
36081033700,84594,2.38,6.96
36081033900,84594,2.12,7.34
36081035100,84594,4.9,7.5
36081035200,82077,4.52,5.75
36081035300,80936,6.41,6.46
36081035800,82077,5.0,6.07
36081036100,83623,3.98,6.25
36081036300,83623,2.74,3.91
36081036500,83623,4.68,5.35
36081036600,80984,6.06,9.12
36081036700,83623,2.78,7.54
36081036800,80984,7.45,8.5
36081037300,80893,3.86,8.61
36081037501,FPC-605,6.22,7.64
36081037502,80936,3.68,5.74
36081037600,84142,4.27,9.13
36081037700,81146,2.33,4.47
36081037900,80893,4.26,5.94
36081038301,85511,15.07,16.93
36081038400,85538,4.72,9.19
36081039400,82133,4.7,5.15
36081039800,80959,3.95,5.06
36081039901,FPC-600,6.51,8.05
36081039902,FPC-600,3.77,6.86
36081040000,80959,2.29,5.39
36081040101,FPC-599,3.56,5.61
36081040102,FPC-600,1.94,4.38
36081040200,84471,5.59,6.42
36081040301,FPC-599,3.06,4.82
36081040302,FPC-599,2.58,4.41
36081040400,84471,4.9,6.77
36081040501,FPC-601,0.52,3.53
36081040502,FPC-605,2.52,4.1
36081040701,FPC-601,2.25,4.52
36081040702,FPC-605,1.63,5.37
36081040901,FPC-605,4.4,6.2
36081040902,FPC-605,3.9,6.52
36081041100,FPC-602,6.9,8.3
36081041300,FPC-601,5.83,7.62
36081041400,84980,5.28,7.27
36081041500,FPC-599,7.13,8.45
36081042700,87233,11.35,11.83
36081043701,87233,4.37,9.65
36081043702,83290,5.67,6.79
36081043900,FPC-602,8.09,9.6
36081044000,85323,8.44,9.06
36081044301,FPC-602,3.67,7.63
36081044302,FPC-602,1.83,7.19
36081044400,85323,8.16,11.69
36081044601,80929,0.64,0.92
36081044602,83296,1.07,1.8
36081044800,FPC-702,3.36,4.39
36081045000,83696,7.4,8.31
36081045600,80904,12.1,13.61
36081045700,83697,6.22,8.28
36081045900,83697,3.28,8.48
36081046000,FPC-538,2.21,3.18
36081046100,83697,2.23,9.41
36081046400,85323,14.05,15.95
36081046500,FPC-605,7.81,8.65
36081046700,83697,6.62,9.73
36081046800,85323,8.49,12.55
36081046901,83697,7.0,8.45
36081046902,83697,7.56,10.5
36081047000,82033,9.97,13.43
36081047200,82033,13.88,15.69
36081047300,85024,5.55,7.71
36081047801,FPC-694,1.29,8.11
36081047802,FPC-694,4.74,7.64
36081048000,82033,5.35,10.74
36081048100,FPC-603,5.82,7.69
36081048200,82033,4.51,8.23
36081048400,80880,5.85,8.67
36081049201,80880,8.33,13.37
36081049202,80880,2.72,10.69
36081049301,84504,8.82,15.12
36081049302,84504,13.45,15.65
36081049500,85535,11.63,17.06
36081049600,80880,5.68,10.76
36081049700,84504,10.45,12.61
36081050000,82033,5.42,8.22
36081050201,85275,4.49,6.0
36081050202,85306,6.55,6.99
36081050400,85275,2.95,3.24
36081050500,85165,5.29,8.92
36081050600,85306,2.78,3.77
36081050800,Plentiful-1392,1.24,2.46
36081051000,85071,4.39,5.54
36081051200,85071,4.92,6.27
36081051300,84504,10.38,16.63
36081051600,84720,4.14,7.19
36081051700,84504,21.54,24.13
36081051800,85071,7.29,7.75
36081052000,Plentiful-1392,7.54,8.05
36081052100,FPC-686,22.46,25.13
36081052200,85306,8.06,8.59
36081052400,80959,6.03,6.72
36081052600,Plentiful-1372,3.13,5.95
36081052800,Plentiful-1372,3.72,6.01
36081053000,84142,7.98,8.87
36081053100,FPC-686,25.68,26.52
36081053200,85538,7.25,8.46
36081053401,84720,4.49,7.91
36081053601,80917,3.1,5.51
36081053800,84720,5.43,7.79
36081053901,FPC-439,14.25,16.66
36081053902,FPC-686,13.26,17.14
36081054000,85444,3.06,7.61
36081054200,85444,7.38,10.2
36081054500,FPC-686,9.79,12.14
36081054700,DSNY-BRS-2176,7.27,8.88
36081054800,80880,8.93,12.5
36081054900,DSNY-BRS-2176,4.64,6.89
36081055100,DSNY-BRS-2176,3.19,4.7
36081055200,80880,14.7,15.49
36081055300,DSNY-BRS-2176,1.81,6.72
36081055400,83874,8.33,11.77
36081055500,DSNY-BRS-2176,4.32,5.92
36081055600,85221,8.67,11.67
36081055700,83630,1.06,3.38
36081055800,85221,2.87,6.74
36081055900,FPC-681,4.23,7.21
36081056100,FPC-484,14.61,15.08
36081056200,83874,4.47,7.84
36081056500,FPC-681,2.01,6.52
36081056600,85221,2.7,5.18
36081056700,85348,6.86,6.91
36081057700,FPC-484,2.44,3.37
36081057900,FPC-484,3.84,4.41
36081058200,84720,9.15,10.82
36081058500,FPC-683,2.75,3.55
36081058700,FPC-686,4.54,5.92
36081058900,FPC-686,1.43,6.91
36081059000,84720,7.77,11.61
36081059100,FPC-686,7.42,12.05
36081059300,FPC-686,6.67,10.14
36081059400,85314,9.02,13.59
36081059501,FPC-686,9.78,15.3
36081059600,85314,9.55,10.21
36081059800,85538,6.3,9.29
36081059900,FPC-686,17.06,19.94
36081060000,85314,4.84,11.62
36081060600,85314,5.13,12.34
36081060800,85538,5.9,10.57
36081061000,85538,9.11,11.82
36081061200,85314,8.97,14.86
36081061302,FPC-484,15.27,15.52
36081061400,85314,9.39,17.66
36081061601,85022,14.96,15.4
36081061602,85022,10.09,15.88
36081061800,85022,7.49,8.54
36081061900,85535,21.19,22.12
36081062300,FPC-484,16.4,17.26
36081062500,FPC-484,11.77,12.59
36081062600,85161,5.04,6.98
36081062700,FPC-484,7.37,8.13
36081062900,FPC-484,10.59,11.69
36081063200,85264,3.14,6.52
36081063301,85243,20.38,21.44
36081064101,84936,12.79,17.24
36081064500,84603,18.54,24.09
36081064600,83999,1.95,4.86
36081065000,83999,5.07,8.75
36081065401,85022,13.67,16.28
36081065402,83999,16.89,18.18
36081065600,85022,18.69,23.65
36081065702,85535,18.69,19.86
36081065703,85535,16.7,22.9
36081066000,85022,19.81,23.61
36081066301,85535,8.3,15.33
36081066302,85535,8.28,17.49
36081066402,85022,23.55,25.94
36081066403,85022,29.68,33.05
36081066701,85535,13.94,21.26
36081067100,85535,2.99,11.51
36081067700,85535,13.13,18.04
36081067900,85165,10.44,12.68
36081068200,85448,6.96,10.7
36081068300,85165,6.02,8.81
36081069300,85107,5.74,8.54
36081069500,85165,8.44,12.35
36081069701,85107,5.73,8.42
36081069702,85107,11.93,12.56
36081070300,84603,11.62,16.99
36081070700,84603,10.6,17.24
36081070900,84603,5.05,11.81
36081071303,DSNY-BRS-1033,4.85,6.25
36081071304,84207,1.91,5.31
36081071305,84603,3.8,6.32
36081071701,85107,1.56,5.24
36081071900,85107,6.13,6.51
36081072100,84207,5.07,6.42
36081072300,84603,9.17,15.51
